订单编号,订单日期,地区,渠道,商品类别,商品名称,数量,单价,折扣,销售额,成本,客户类型,订单状态
ORD-2025-0019,2025-05-12,华中,直营网店,食品饮料,手冲咖啡豆,4,79.0,0.9,284.4,180.12,会员,已完成
ORD-2025-0020,2025-04-28,华中,电商平台,食品饮料,手冲咖啡豆,1,79.0,0.95,75.05,45.03,新客,已完成
ORD-2025-0021,2025-06-18,西南,电商平台,家居日用,床上四件套,3,329.0,0.9,888.3,611.94,新客,已完成
ORD-2025-0022,2025-02-18,华东,企业团购,家居日用,床上四件套,1,329.0,0.85,279.65,203.98,会员,已完成
ORD-2025-0023,2025-03-10,华中,电商平台,厨房用品,保温杯,5,89.0,0.95,422.75,213.6,会员,已完成
ORD-2025-0024,2025-01-05,华北,电商平台,数码配件,无线鼠标,2,129.0,0.85,219.3,134.16,新客,已完成
ORD-2025-0025,2025-06-17,华东,企业团购,数码配件,蓝牙耳机,1,239.0,0.95,227.05,138.62,会员,已完成
ORD-2025-0026,2025-01-06,西南,电商平台,家居日用,收纳箱,5,69.0,1.0,345.0,172.5,会员,已完成
ORD-2025-0027,2025-01-21,华南,直营网店,家居日用,床上四件套,1,329.0,0.9,296.1,203.98,会员,已完成
ORD-2025-0028,2025-06-06,西北,直播间,家居日用,收纳箱,4,69.0,0.95,262.2,138.0,老客,已完成
ORD-2025-0029,2025-04-03,华中,电商平台,食品饮料,低糖燕麦,1,59.0,0.9,53.1,35.99,新客,已完成
ORD-2025-0030,2025-01-29,西南,直播间,家居日用,床上四件套,4,329.0,0.85,1118.6,815.92,新客,已完成
ORD-2025-0031,2025-03-01,华南,直播间,厨房用品,保温杯,4,89.0,0.9,320.4,170.88,老客,已完成
ORD-2025-0032,2025-02-06,西南,直播间,食品饮料,手冲咖啡豆,4,79.0,1.0,0.0,0.0,会员,已取消
ORD-2025-0033,2025-04-04,华南,直播间,厨房用品,保温杯,5,89.0,0.85,378.25,213.6,老客,已完成
ORD-2025-0034,2025-03-06,华北,企业团购,家居日用,床上四件套,4,329.0,1.0,1316.0,815.92,老客,已完成
ORD-2025-0035,2025-06-12,华南,直营网店,数码配件,蓝牙耳机,4,239.0,0.9,860.4,554.48,新客,已完成
ORD-2025-0036,2025-03-13,华南,直播间,数码配件,蓝牙耳机,5,239.0,0.85,1015.75,693.1,会员,已完成
ORD-2025-0037,2025-04-20,西北,直播间,家居日用,收纳箱,4,69.0,0.85,234.6,138.0,新客,已完成
ORD-2025-0038,2025-05-31,西北,直营网店,厨房用品,刀具套装,3,169.0,1.0,507.0,278.85,新客,已完成
ORD-2025-0039,2025-01-27,华北,电商平台,数码配件,无线鼠标,2,129.0,1.0,258.0,134.16,会员,已完成
ORD-2025-0040,2025-02-26,西北,企业团购,厨房用品,刀具套装,4,169.0,1.0,676.0,371.8,新客,已完成
ORD-2025-0041,2025-04-29,华北,电商平台,家居日用,收纳箱,3,69.0,0.95,196.65,103.5,新客,已完成
ORD-2025-0042,2025-03-18,西北,电商平台,食品饮料,坚果礼盒,3,118.0,0.9,318.6,226.56,新客,已完成
ORD-2025-0043,2025-01-25,华南,直播间,家居日用,护眼台灯,4,149.0,0.95,566.2,315.88,老客,已完成
ORD-2025-0044,2025-01-26,华东,直营网店,厨房用品,刀具套装,1,169.0,0.85,143.65,92.95,新客,已完成
ORD-2025-0045,2025-04-09,西北,电商平台,食品饮料,低糖燕麦,4,59.0,0.9,212.4,143.96,新客,已完成
ORD-2025-0046,2025-03-03,西南,直播间,家居日用,收纳箱,3,69.0,1.0,207.0,103.5,会员,已完成
ORD-2025-0047,2025-05-23,华北,电商平台,数码配件,蓝牙耳机,3,239.0,0.85,609.45,415.86,老客,已完成
ORD-2025-0048,2025-06-21,华南,直播间,食品饮料,手冲咖啡豆,1,79.0,1.0,79.0,45.03,会员,已完成
ORD-2025-0049,2025-05-08,华东,电商平台,食品饮料,坚果礼盒,3,118.0,0.9,318.6,226.56,新客,已完成
ORD-2025-0050,2025-05-20,西北,直营网店,家居日用,收纳箱,4,69.0,0.9,248.4,138.0,新客,已完成
ORD-2025-0051,2025-03-20,华东,直播间,食品饮料,坚果礼盒,4,118.0,1.0,472.0,302.08,新客,已完成
ORD-2025-0052,2025-01-03,华中,电商平台,家居日用,护眼台灯,2,149.0,0.85,253.3,157.94,新客,已完成
ORD-2025-0053,2025-06-15,西北,企业团购,食品饮料,低糖燕麦,3,59.0,0.95,168.15,107.97,会员,退款中
ORD-2025-0054,2025-05-04,西南,电商平台,数码配件,手机支架,3,49.0,1.0,147.0,66.15,会员,已完成
ORD-2025-0055,2025-03-01,华南,直营网店,食品饮料,手冲咖啡豆,2,79.0,1.0,158.0,90.06,新客,已完成
ORD-2025-0056,2025-04-23,西南,企业团购,食品饮料,低糖燕麦,2,59.0,0.95,112.1,71.98,会员,已完成
ORD-2025-0057,2025-02-08,华南,直营网店,数码配件,手机支架,5,49.0,0.9,220.5,110.25,会员,已完成
ORD-2025-0058,2025-05-08,华北,直营网店,食品饮料,坚果礼盒,2,118.0,0.85,200.6,151.04,新客,已完成
ORD-2025-0059,2025-02-19,华北,直播间,食品饮料,坚果礼盒,5,118.0,0.9,531.0,377.6,老客,退款中
ORD-2025-0060,2025-02-11,西南,电商平台,数码配件,手机支架,1,49.0,0.85,41.65,22.05,会员,已完成
ORD-2025-0061,2025-06-28,西北,直营网店,厨房用品,不粘锅,3,259.0,0.9,699.3,404.04,老客,已完成
ORD-2025-0062,2025-06-09,华南,直播间,厨房用品,保温杯,5,89.0,0.95,422.75,213.6,会员,已完成
ORD-2025-0063,2025-01-28,华南,电商平台,数码配件,手机支架,3,49.0,1.0,147.0,66.15,新客,已完成
ORD-2025-0064,2025-01-21,华南,电商平台,食品饮料,低糖燕麦,3,59.0,1.0,177.0,107.97,老客,已完成
ORD-2025-0065,2025-06-29,西北,企业团购,家居日用,收纳箱,3,69.0,0.95,196.65,103.5,会员,已完成
ORD-2025-0066,2025-06-26,华东,电商平台,数码配件,蓝牙耳机,4,239.0,0.85,812.6,554.48,老客,已完成
ORD-2025-0067,2025-01-05,西北,电商平台,食品饮料,坚果礼盒,4,118.0,0.95,448.4,302.08,会员,已完成
ORD-2025-0068,2025-05-19,华北,电商平台,数码配件,无线鼠标,4,129.0,0.95,490.2,268.32,老客,已完成
ORD-2025-0069,2025-01-13,西南,直播间,厨房用品,刀具套装,1,169.0,0.95,160.55,92.95,会员,已完成
ORD-2025-0070,2025-05-09,华南,电商平台,厨房用品,不粘锅,1,259.0,1.0,259.0,134.68,老客,已完成
ORD-2025-0071,2025-01-17,华南,企业团购,食品饮料,低糖燕麦,5,59.0,0.9,265.5,179.95,老客,已完成
ORD-2025-0072,2025-02-01,华中,企业团购,数码配件,手机支架,3,49.0,0.95,139.65,66.15,会员,已完成
ORD-2025-0073,2025-04-04,华北,直播间,数码配件,蓝牙耳机,4,239.0,1.0,956.0,554.48,新客,已完成
ORD-2025-0074,2025-05-23,华中,直营网店,厨房用品,刀具套装,1,169.0,1.0,169.0,92.95,新客,已完成
ORD-2025-0075,2025-04-29,华北,直播间,厨房用品,保温杯,3,89.0,1.0,267.0,128.16,会员,已完成
ORD-2025-0076,2025-06-09,华南,电商平台,数码配件,手机支架,4,49.0,1.0,196.0,88.2,新客,已完成
ORD-2025-0077,2025-04-21,华南,电商平台,家居日用,床上四件套,5,329.0,0.9,1480.5,1019.9,会员,已完成
ORD-2025-0078,2025-04-25,华中,电商平台,家居日用,护眼台灯,2,149.0,0.9,268.2,157.94,会员,已完成
ORD-2025-0079,2025-05-12,华东,电商平台,家居日用,护眼台灯,3,149.0,0.95,424.65,236.91,会员,已完成
ORD-2025-0080,2025-04-13,西北,企业团购,厨房用品,保温杯,2,89.0,1.0,0.0,0.0,老客,已取消
ORD-2025-0081,2025-02-23,华中,直营网店,数码配件,无线鼠标,1,129.0,0.85,109.65,67.08,老客,已完成
ORD-2025-0082,2025-05-31,华中,电商平台,数码配件,手机支架,3,49.0,0.85,0.0,0.0,新客,已取消
ORD-2025-0083,2025-03-21,华南,企业团购,数码配件,手机支架,1,49.0,0.95,46.55,22.05,会员,已完成
ORD-2025-0084,2025-01-11,华中,直播间,数码配件,蓝牙耳机,5,239.0,0.95,1135.25,693.1,会员,已完成
ORD-2025-0085,2025-01-04,华中,直营网店,食品饮料,坚果礼盒,5,118.0,0.85,501.5,377.6,新客,已完成
ORD-2025-0086,2025-02-13,西北,直播间,食品饮料,手冲咖啡豆,3,79.0,0.9,213.3,135.09,新客,已完成
ORD-2025-0087,2025-04-24,华中,直播间,食品饮料,手冲咖啡豆,5,79.0,1.0,395.0,225.15,会员,退款中
ORD-2025-0088,2025-03-23,华东,直营网店,食品饮料,低糖燕麦,5,59.0,0.85,0.0,0.0,老客,已取消
ORD-2025-0089,2025-05-10,华北,直播间,厨房用品,刀具套装,5,169.0,0.85,718.25,464.75,老客,已完成
ORD-2025-0090,2025-01-28,西北,直营网店,家居日用,收纳箱,4,69.0,0.9,248.4,138.0,老客,已完成
ORD-2025-0091,2025-03-14,华北,企业团购,食品饮料,手冲咖啡豆,1,79.0,0.95,75.05,45.03,老客,已完成
ORD-2025-0092,2025-05-06,华北,直播间,数码配件,无线鼠标,1,129.0,0.95,122.55,67.08,会员,已完成
ORD-2025-0093,2025-02-08,华东,企业团购,厨房用品,保温杯,2,89.0,1.0,178.0,85.44,会员,已完成
ORD-2025-0094,2025-03-05,华东,直播间,厨房用品,不粘锅,1,259.0,0.95,0.0,0.0,新客,已取消
ORD-2025-0095,2025-04-08,华南,企业团购,食品饮料,手冲咖啡豆,1,79.0,0.95,75.05,45.03,新客,已完成
ORD-2025-0096,2025-03-30,华中,企业团购,厨房用品,刀具套装,4,169.0,0.85,574.6,371.8,会员,已完成
ORD-2025-0097,2025-01-21,华北,电商平台,食品饮料,坚果礼盒,3,118.0,0.95,336.3,226.56,新客,已完成
ORD-2025-0098,2025-05-27,西北,电商平台,厨房用品,不粘锅,2,259.0,1.0,0.0,0.0,会员,已取消
ORD-2025-0099,2025-06-02,西北,直营网店,数码配件,无线鼠标,4,129.0,0.95,490.2,268.32,会员,已完成
ORD-2025-0100,2025-06-20,华北,电商平台,数码配件,无线鼠标,1,129.0,1.0,129.0,67.08,新客,已完成
ORD-2025-0101,2025-04-29,华东,电商平台,家居日用,床上四件套,3,329.0,1.0,987.0,611.94,会员,退款中
ORD-2025-0102,2025-03-03,西南,直播间,数码配件,手机支架,1,49.0,0.9,44.1,22.05,会员,已完成
ORD-2025-0103,2025-06-09,华东,直营网店,厨房用品,不粘锅,5,259.0,0.95,1230.25,673.4,新客,已完成
ORD-2025-0104,2025-05-03,西南,直播间,食品饮料,坚果礼盒,2,118.0,0.85,200.6,151.04,新客,已完成
ORD-2025-0105,2025-04-09,华东,直营网店,家居日用,护眼台灯,4,149.0,1.0,0.0,0.0,新客,已取消
ORD-2025-0106,2025-05-26,华东,电商平台,食品饮料,手冲咖啡豆,1,79.0,0.95,75.05,45.03,新客,已完成
ORD-2025-0107,2025-03-22,华东,电商平台,家居日用,收纳箱,1,69.0,0.95,65.55,34.5,新客,已完成
ORD-2025-0108,2025-04-21,华北,直播间,家居日用,收纳箱,3,69.0,0.85,175.95,103.5,新客,退款中
ORD-2025-0109,2025-01-06,华南,直播间,厨房用品,刀具套装,3,169.0,1.0,507.0,278.85,老客,已完成
ORD-2025-0110,2025-03-18,西南,直营网店,食品饮料,低糖燕麦,2,59.0,0.9,106.2,71.98,新客,已完成
ORD-2025-0111,2025-02-20,华东,电商平台,食品饮料,低糖燕麦,3,59.0,0.85,150.45,107.97,新客,已完成
ORD-2025-0112,2025-02-04,华北,直播间,厨房用品,不粘锅,1,259.0,0.85,220.15,134.68,老客,已完成
ORD-2025-0113,2025-05-18,华东,直营网店,家居日用,床上四件套,4,329.0,0.9,1184.4,815.92,老客,已完成
ORD-2025-0114,2025-06-03,华东,企业团购,食品饮料,手冲咖啡豆,5,79.0,0.9,355.5,225.15,老客,已完成
ORD-2025-0115,2025-06-23,西北,直播间,家居日用,床上四件套,2,329.0,0.85,559.3,407.96,老客,已完成
ORD-2025-0116,2025-04-11,华中,企业团购,厨房用品,保温杯,5,89.0,0.9,400.5,213.6,老客,已完成
ORD-2025-0117,2025-01-10,华南,企业团购,家居日用,护眼台灯,3,149.0,0.85,379.95,236.91,会员,已完成
ORD-2025-0118,2025-02-10,华北,直营网店,厨房用品,不粘锅,2,259.0,1.0,518.0,269.36,新客,已完成
ORD-2025-0119,2025-02-16,华北,企业团购,食品饮料,低糖燕麦,5,59.0,0.85,250.75,179.95,新客,已完成
ORD-2025-0120,2025-02-16,华北,直播间,食品饮料,坚果礼盒,4,118.0,0.95,448.4,302.08,会员,已完成
ORD-2025-0121,2025-01-31,华北,企业团购,家居日用,护眼台灯,3,149.0,1.0,447.0,236.91,老客,已完成
ORD-2025-0122,2025-06-23,西南,直营网店,数码配件,手机支架,1,49.0,0.85,41.65,22.05,新客,已完成
ORD-2025-0123,2025-02-19,西北,直营网店,食品饮料,坚果礼盒,1,118.0,0.85,100.3,75.52,老客,已完成
ORD-2025-0124,2025-06-21,华东,电商平台,食品饮料,坚果礼盒,3,118.0,0.85,300.9,226.56,老客,已完成
ORD-2025-0125,2025-06-20,华东,企业团购,数码配件,手机支架,1,49.0,0.85,0.0,0.0,新客,已取消
ORD-2025-0126,2025-02-24,西北,直播间,家居日用,床上四件套,2,329.0,1.0,658.0,407.96,新客,已完成
ORD-2025-0127,2025-06-04,华北,企业团购,数码配件,手机支架,3,49.0,0.95,139.65,66.15,老客,已完成
ORD-2025-0128,2025-02-07,华东,电商平台,食品饮料,低糖燕麦,1,59.0,0.95,0.0,0.0,新客,已取消
ORD-2025-0129,2025-05-02,华南,直播间,厨房用品,保温杯,3,89.0,0.9,240.3,128.16,新客,已完成
ORD-2025-0130,2025-04-07,华南,电商平台,家居日用,床上四件套,2,329.0,0.9,592.2,407.96,会员,已完成
ORD-2025-0131,2025-05-04,华中,企业团购,厨房用品,刀具套装,4,169.0,1.0,676.0,371.8,老客,已完成
ORD-2025-0132,2025-01-10,华东,直播间,数码配件,无线鼠标,3,129.0,0.85,328.95,201.24,新客,已完成
ORD-2025-0133,2025-02-04,华东,企业团购,食品饮料,手冲咖啡豆,5,79.0,1.0,395.0,225.15,新客,已完成
ORD-2025-0134,2025-02-02,西南,电商平台,厨房用品,不粘锅,1,259.0,1.0,259.0,134.68,新客,已完成
ORD-2025-0135,2025-01-04,西南,直营网店,厨房用品,刀具套装,1,169.0,0.95,160.55,92.95,新客,已完成
ORD-2025-0136,2025-01-30,西南,电商平台,数码配件,无线鼠标,3,129.0,0.9,348.3,201.24,新客,已完成
ORD-2025-0137,2025-05-27,华东,直播间,家居日用,护眼台灯,2,149.0,1.0,298.0,157.94,会员,已完成
ORD-2025-0138,2025-01-25,华北,直播间,数码配件,无线鼠标,2,129.0,1.0,0.0,0.0,老客,已取消
ORD-2025-0139,2025-04-21,华南,直营网店,数码配件,无线鼠标,5,129.0,0.95,612.75,335.4,老客,退款中
ORD-2025-0140,2025-02-10,华北,企业团购,厨房用品,不粘锅,1,259.0,0.95,246.05,134.68,会员,已完成
ORD-2025-0141,2025-06-24,华北,直播间,厨房用品,不粘锅,3,259.0,1.0,777.0,404.04,新客,已完成
ORD-2025-0142,2025-03-08,华东,企业团购,厨房用品,保温杯,1,89.0,1.0,89.0,42.72,会员,已完成
ORD-2025-0143,2025-01-21,华北,直播间,厨房用品,保温杯,2,89.0,0.85,151.3,85.44,老客,退款中
ORD-2025-0144,2025-03-26,西南,直营网店,厨房用品,保温杯,3,89.0,0.9,240.3,128.16,老客,已完成
ORD-2025-0145,2025-01-16,华南,企业团购,厨房用品,保温杯,1,89.0,0.95,84.55,42.72,老客,退款中
ORD-2025-0146,2025-06-04,华北,直播间,数码配件,手机支架,5,49.0,0.85,208.25,110.25,新客,已完成
ORD-2025-0147,2025-05-13,华东,企业团购,数码配件,无线鼠标,3,129.0,1.0,387.0,201.24,老客,已完成
ORD-2025-0148,2025-03-01,西北,直播间,数码配件,无线鼠标,3,129.0,0.95,367.65,201.24,新客,已完成
ORD-2025-0149,2025-02-17,华中,电商平台,厨房用品,保温杯,5,89.0,0.95,422.75,213.6,会员,已完成
ORD-2025-0150,2025-02-18,西北,直营网店,家居日用,床上四件套,1,329.0,0.95,312.55,203.98,新客,已完成
ORD-2025-0151,2025-04-24,华北,直营网店,数码配件,手机支架,5,49.0,1.0,245.0,110.25,老客,已完成
ORD-2025-0152,2025-03-17,华南,电商平台,家居日用,床上四件套,4,329.0,0.95,1250.2,815.92,老客,已完成
ORD-2025-0153,2025-06-20,华北,直播间,数码配件,无线鼠标,2,129.0,0.85,219.3,134.16,新客,已完成
ORD-2025-0154,2025-06-15,华中,企业团购,厨房用品,刀具套装,5,169.0,0.95,802.75,464.75,老客,已完成
ORD-2025-0155,2025-02-10,华东,企业团购,厨房用品,保温杯,4,89.0,0.95,338.2,170.88,会员,已完成
ORD-2025-0156,2025-06-23,西北,直营网店,厨房用品,刀具套装,2,169.0,0.85,0.0,0.0,会员,已取消
ORD-2025-0157,2025-05-23,西南,电商平台,数码配件,蓝牙耳机,2,239.0,0.95,454.1,277.24,会员,已完成
ORD-2025-0158,2025-02-08,华东,直营网店,数码配件,手机支架,3,49.0,0.9,132.3,66.15,会员,已完成
ORD-2025-0159,2025-03-29,华南,企业团购,食品饮料,坚果礼盒,5,118.0,0.9,0.0,0.0,会员,已取消
ORD-2025-0160,2025-01-24,华南,直播间,食品饮料,低糖燕麦,5,59.0,0.9,265.5,179.95,老客,已完成
ORD-2025-0161,2025-05-07,华南,企业团购,食品饮料,手冲咖啡豆,1,79.0,0.95,75.05,45.03,会员,已完成
ORD-2025-0162,2025-04-18,华北,直营网店,食品饮料,坚果礼盒,2,118.0,1.0,236.0,151.04,新客,已完成
ORD-2025-0163,2025-02-13,华北,企业团购,食品饮料,坚果礼盒,2,118.0,0.95,224.2,151.04,老客,已完成
ORD-2025-0164,2025-03-23,华东,电商平台,食品饮料,坚果礼盒,5,118.0,0.9,531.0,377.6,会员,已完成
ORD-2025-0165,2025-04-04,华南,直播间,厨房用品,刀具套装,1,169.0,0.95,160.55,92.95,新客,已完成
ORD-2025-0166,2025-03-01,华北,电商平台,食品饮料,坚果礼盒,1,118.0,0.85,100.3,75.52,老客,已完成
ORD-2025-0167,2025-02-16,华南,电商平台,厨房用品,不粘锅,2,259.0,0.95,492.1,269.36,会员,已完成
ORD-2025-0168,2025-06-20,华北,电商平台,家居日用,床上四件套,1,329.0,0.95,0.0,0.0,新客,已取消
ORD-2025-0169,2025-03-19,华东,电商平台,食品饮料,低糖燕麦,1,59.0,0.85,50.15,35.99,老客,已完成
ORD-2025-0170,2025-04-25,华中,直播间,家居日用,收纳箱,3,69.0,0.85,0.0,0.0,会员,已取消
ORD-2025-0171,2025-04-17,华南,直营网店,数码配件,手机支架,5,49.0,1.0,245.0,110.25,老客,已完成
ORD-2025-0172,2025-03-03,华北,电商平台,厨房用品,保温杯,4,89.0,0.85,302.6,170.88,新客,已完成
ORD-2025-0173,2025-01-15,华北,电商平台,数码配件,手机支架,1,49.0,0.9,44.1,22.05,老客,已完成
ORD-2025-0174,2025-04-03,西北,电商平台,食品饮料,手冲咖啡豆,4,79.0,1.0,316.0,180.12,会员,已完成
ORD-2025-0175,2025-03-19,华南,企业团购,食品饮料,手冲咖啡豆,2,79.0,1.0,158.0,90.06,老客,已完成
ORD-2025-0176,2025-02-24,西南,企业团购,厨房用品,刀具套装,1,169.0,0.95,160.55,92.95,会员,已完成
ORD-2025-0177,2025-06-17,西南,直播间,数码配件,手机支架,2,49.0,0.85,83.3,44.1,会员,已完成
ORD-2025-0178,2025-02-20,华东,企业团购,食品饮料,坚果礼盒,1,118.0,0.85,100.3,75.52,老客,已完成
ORD-2025-0179,2025-04-23,华南,直播间,厨房用品,保温杯,1,89.0,0.9,80.1,42.72,会员,已完成
ORD-2025-0180,2025-03-24,华南,电商平台,厨房用品,不粘锅,1,259.0,1.0,259.0,134.68,会员,已完成
ORD-2025-0181,2025-03-23,西北,直营网店,厨房用品,刀具套装,4,169.0,0.9,608.4,371.8,新客,已完成
ORD-2025-0182,2025-06-18,西南,直播间,厨房用品,保温杯,2,89.0,1.0,178.0,85.44,老客,已完成
ORD-2025-0183,2025-01-08,华南,直播间,数码配件,蓝牙耳机,1,239.0,0.95,227.05,138.62,会员,已完成
ORD-2025-0184,2025-06-27,华南,直播间,食品饮料,手冲咖啡豆,4,79.0,0.9,284.4,180.12,会员,已完成
ORD-2025-0185,2025-05-07,西北,企业团购,家居日用,床上四件套,3,329.0,0.85,838.95,611.94,老客,已完成
ORD-2025-0186,2025-03-25,西北,直播间,食品饮料,手冲咖啡豆,3,79.0,0.85,201.45,135.09,会员,已完成
ORD-2025-0187,2025-03-04,西北,企业团购,厨房用品,保温杯,5,89.0,0.9,400.5,213.6,老客,已完成
ORD-2025-0188,2025-03-18,华中,企业团购,家居日用,床上四件套,4,329.0,0.9,1184.4,815.92,老客,已完成
ORD-2025-0189,2025-03-21,华东,电商平台,厨房用品,保温杯,5,89.0,0.9,400.5,213.6,老客,已完成
ORD-2025-0190,2025-01-07,华南,直播间,家居日用,护眼台灯,5,149.0,1.0,745.0,394.85,老客,已完成
ORD-2025-0191,2025-03-01,华东,电商平台,厨房用品,刀具套装,1,169.0,0.9,152.1,92.95,老客,已完成
ORD-2025-0192,2025-03-17,华中,电商平台,家居日用,床上四件套,2,329.0,0.85,559.3,407.96,新客,已完成
ORD-2025-0193,2025-01-27,西北,企业团购,数码配件,无线鼠标,4,129.0,0.9,464.4,268.32,老客,已完成
ORD-2025-0194,2025-02-14,华中,企业团购,家居日用,收纳箱,3,69.0,0.85,175.95,103.5,会员,已完成
ORD-2025-0195,2025-06-06,西北,直营网店,家居日用,收纳箱,4,69.0,1.0,276.0,138.0,会员,已完成
ORD-2025-0196,2025-02-08,华中,企业团购,厨房用品,不粘锅,2,259.0,0.85,440.3,269.36,会员,已完成
ORD-2025-0197,2025-02-21,华中,企业团购,数码配件,无线鼠标,2,129.0,0.95,245.1,134.16,新客,已完成
ORD-2025-0198,2025-06-14,华北,企业团购,厨房用品,不粘锅,2,259.0,0.9,466.2,269.36,新客,已完成
ORD-2025-0199,2025-04-16,华北,直营网店,家居日用,护眼台灯,1,149.0,1.0,149.0,78.97,新客,已完成
ORD-2025-0200,2025-05-01,西南,电商平台,数码配件,蓝牙耳机,3,239.0,0.9,645.3,415.86,老客,已完成
ORD-2025-0201,2025-05-20,华中,直播间,数码配件,手机支架,3,49.0,0.85,124.95,66.15,老客,已完成
ORD-2025-0202,2025-01-29,华中,直营网店,数码配件,蓝牙耳机,3,239.0,0.85,609.45,415.86,会员,已完成
ORD-2025-0203,2025-03-23,西北,直播间,厨房用品,不粘锅,1,259.0,0.85,220.15,134.68,会员,已完成
ORD-2025-0204,2025-02-17,华东,电商平台,家居日用,床上四件套,3,329.0,1.0,987.0,611.94,新客,已完成
ORD-2025-0205,2025-06-27,华中,电商平台,家居日用,护眼台灯,3,149.0,1.0,447.0,236.91,老客,已完成
ORD-2025-0206,2025-03-22,华东,直播间,厨房用品,刀具套装,5,169.0,0.9,760.5,464.75,老客,已完成
ORD-2025-0207,2025-01-12,华中,直营网店,厨房用品,不粘锅,3,259.0,0.9,699.3,404.04,新客,已完成
ORD-2025-0208,2025-06-21,华中,企业团购,食品饮料,坚果礼盒,2,118.0,1.0,236.0,151.04,老客,已完成
ORD-2025-0209,2025-02-24,西南,直播间,数码配件,无线鼠标,2,129.0,0.95,245.1,134.16,会员,已完成
ORD-2025-0210,2025-01-16,华中,直营网店,数码配件,手机支架,2,49.0,0.85,83.3,44.1,会员,已完成
ORD-2025-0211,2025-04-21,华东,直播间,家居日用,护眼台灯,1,149.0,1.0,149.0,78.97,新客,已完成
ORD-2025-0212,2025-04-19,华北,电商平台,数码配件,蓝牙耳机,3,239.0,0.85,609.45,415.86,会员,已完成
ORD-2025-0213,2025-04-16,华南,直营网店,食品饮料,手冲咖啡豆,2,79.0,0.9,142.2,90.06,老客,已完成
ORD-2025-0214,2025-02-03,西北,电商平台,厨房用品,刀具套装,2,169.0,0.95,321.1,185.9,新客,退款中
ORD-2025-0215,2025-02-01,华北,直营网店,食品饮料,低糖燕麦,2,59.0,0.95,112.1,71.98,老客,已完成
ORD-2025-0216,2025-05-10,华南,企业团购,厨房用品,不粘锅,2,259.0,0.9,466.2,269.36,老客,已完成
ORD-2025-0217,2025-06-23,华东,直营网店,厨房用品,不粘锅,2,259.0,0.9,466.2,269.36,新客,已完成
ORD-2025-0218,2025-03-04,华东,直播间,家居日用,床上四件套,2,329.0,0.95,625.1,407.96,会员,已完成
ORD-2025-0219,2025-05-09,西北,企业团购,食品饮料,手冲咖啡豆,1,79.0,0.9,71.1,45.03,老客,已完成
ORD-2025-0220,2025-06-23,西北,直营网店,数码配件,蓝牙耳机,4,239.0,0.95,908.2,554.48,会员,已完成
ORD-2025-0221,2025-05-11,华中,直营网店,厨房用品,保温杯,5,89.0,0.95,422.75,213.6,新客,已完成
ORD-2025-0222,2025-05-09,西北,直营网店,食品饮料,坚果礼盒,1,118.0,1.0,118.0,75.52,老客,已完成
ORD-2025-0223,2025-05-23,华北,直播间,数码配件,手机支架,5,49.0,0.85,208.25,110.25,新客,已完成
